,type,name,zcr,rms,pitch,hnr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
24,voice,silence,0.03999999910593033,0.0012929737567901611,3.0,4.0,56.538482666015625,-7.949838638305664,19.499122619628906,-3.292227268218994,0.39124202728271484,-5.112823963165283,-1.647420883178711,-1.7133493423461914,-0.14263534545898438,0.3619804382324219,12.348472595214844,2.484140396118164
25,voice,silence,0.03999999910593033,0.0013584449188783765,3.0,4.0,63.98356246948242,-8.610952377319336,14.784808158874512,-4.407386779785156,2.098635673522949,-0.4309506416320801,0.11762046813964844,3.9691009521484375,-3.335855484008789,2.8172874450683594,11.820615768432617,9.732769966125488
26,voice,silence,0.042500000447034836,0.001254296163097024,3.0,4.0,66.55610656738281,-7.927725791931152,14.438512802124023,-1.8554019927978516,5.6142778396606445,1.1930909156799316,7.628392219543457,3.33583927154541,1.990621566772461,5.218387603759766,12.089803695678711,0.8325185775756836
27,voice,silence,0.03375000134110451,0.0013147782301530242,3.0,4.0,66.4931640625,-8.42352294921875,22.26422882080078,-2.359668731689453,11.590408325195312,5.799479007720947,6.255161285400391,3.852015495300293,7.928617477416992,-0.3169059753417969,1.6011962890625,2.856639862060547
28,voice,silence,0.03375000134110451,0.0013845120556652546,3.0,4.0,59.113136291503906,-7.339388370513916,21.756458282470703,4.152011394500732,13.09396743774414,4.632937431335449,2.965468406677246,-4.879006862640381,-4.775407791137695,-4.842647552490234,5.006726264953613,0.7190771102905273
29,voice,silence,0.03375000134110451,0.0013902749633416533,3.0,4.0,68.72026062011719,-6.562048435211182,20.015256881713867,0.33898210525512695,8.423257827758789,6.943696975708008,4.945448875427246,0.6828904151916504,4.555868148803711,0.8496513366699219,3.000788688659668,1.1770257949829102
30,voice,silence,0.04500000178813934,0.0012675251346081495,3.0,4.0,62.25785827636719,-6.893019199371338,23.282888412475586,1.0028901100158691,7.594038963317871,3.8058314323425293,1.3728351593017578,-5.188625335693359,4.107231140136719,2.9835777282714844,9.606271743774414,0.6324543952941895
31,voice,silence,0.04749999940395355,0.0013467491371557117,3.0,4.0,67.80824279785156,-4.034784317016602,18.76885986328125,3.6986703872680664,9.650967597961426,-1.1337451934814453,-0.06287384033203125,-0.9028854370117188,3.1424713134765625,0.5883941650390625,7.216457366943359,0.30835437774658203
32,voice,silence,0.04374999925494194,0.001245886436663568,3.0,4.0,69.72618103027344,-6.5803704261779785,22.35188102722168,-0.5569062232971191,9.999844551086426,-5.111565589904785,-0.5206089019775391,0.3873558044433594,6.516563415527344,1.8242988586425781,4.147676467895508,-5.893622398376465
33,voice,silence,0.05249999836087227,0.0010841715848073363,3.0,4.0,63.824974060058594,-3.800844430923462,13.301451683044434,-2.0339574813842773,-3.6118006706237793,-4.89164400100708,-5.5230560302734375,3.325547695159912,2.121286392211914,-4.897739410400391,4.059612274169922,3.511955738067627
